ID Industry Group,Industry Group,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Industry Group,CIP2,ID CIP2
"4247","Petroleum & petroleum products merchant wholesalers",2015,"2015","true","true",6340,1954.832054212492,182275.90410094638,39906.525009266334,0.001700792504923982,286,"petroleum-petroleum-products-merchant-wholesalers","Engineering","14"
"5411","Legal services",2018,"2018","true","true",31243,4339.147768700782,182236.48522869122,21522.311834614975,0.0075168396889520525,1613,"legal-services","Engineering","14"
"42491","Farm supplies merchant wholesalers",2015,"2015","true","true",489,542.9107260071557,180883.27607361964,194041.79469967523,0.00013118099919681817,22,"farm-supplies-merchant-wholesalers","Engineering","14"
"52M2","Securities, commodities, funds, trusts & other financial investments",2016,"2016","true","true",47403,5344.468933238646,178609.7924603928,17488.67569933786,0.012312019822655798,2293,"securities-commodities-funds-trusts-other-financial-investments","Engineering","14"
"32411","Petroleum refining",2019,"2019","true","true",21219,3576.0696398812183,178593.39959470287,21069.56767385257,0.004929333214701628,1056,"petroleum-refining","Engineering","14"
"5411","Legal services",2017,"2017","true","true",31063,4326.626240705034,177933.68847181535,21248.54130423348,0.0077587302887712345,1588,"legal-services","Engineering","14"
"32411","Petroleum refining",2020,"2020","true","true",21076,3564.002303696967,177920.09233251092,20179.86967370062,0.00472343816814149,1018,"petroleum-refining","Engineering","14"
"532M2","Other consumer goods rental",2018,"2018","true","true",994,774.0454565271071,177445.2615694165,142987.41931644888,0.00023914920624838653,53,"other-consumer-goods-rental","Engineering","14"
"3241M","Miscellaneous petroleum & coal products",2017,"2017","true","true",1788,1038.1397166046481,176408.74888143176,73885.40257316976,0.0004465959423211849,88,"miscellaneous-petroleum-coal-products","Engineering","14"
"52M2","Securities, commodities, funds, trusts & other financial investments",2014,"2014","true","true",44117,5155.935023019006,176352.564430945,17499.336481611303,0.01223275084251453,2112,"securities-commodities-funds-trusts-other-financial-investments","Engineering","14"
"51913","Internet publishing, broadcasting & web search portals",2016,"2016","true","true",8637,2281.6178105762788,176056.02593493112,34111.75137185947,0.002243295049011205,450,"internet-publishing-broadcasting-web-search-portals","Engineering","14"
"32411","Petroleum refining",2018,"2018","true","true",20732,3534.796223822624,175940.71285934787,20332.540850749756,0.004987969158894919,1029,"petroleum-refining","Engineering","14"
"3241M","Miscellaneous petroleum & coal products",2019,"2019","true","true",2216,1155.7299651035137,175861.72698555957,58735.59830440055,0.0005147934588707671,100,"miscellaneous-petroleum-coal-products","Engineering","14"
"53223","Video tape & disk rental",2014,"2014","true","true",373,474.16400248856405,175707.7667560322,187715.53924710196,0.00010342534769494569,19,"video-tape-disk-rental","Engineering","14"
"42491","Farm supplies merchant wholesalers",2018,"2018","true","true",494,545.6793196560301,174430.012145749,212166.5936449174,0.00011885282483571724,29,"farm-supplies-merchant-wholesalers","Engineering","14"
"52M2","Securities, commodities, funds, trusts & other financial investments",2015,"2015","true","true",45286,5223.790592447331,174255.02950139117,17266.410984495607,0.012148594539114741,2173,"securities-commodities-funds-trusts-other-financial-investments","Engineering","14"
"211","Oil & gas extraction",2014,"2014","true","true",10242,2484.567635737201,173207.9748096075,29415.602802902522,0.0028398992254467393,509,"oil-gas-extraction","Engineering","14"
"5411","Legal services",2016,"2016","true","true",30154,4262.8565306910805,173042.20163162434,20597.839480884093,0.007831922995007973,1523,"legal-services","Engineering","14"
"3241M","Miscellaneous petroleum & coal products",2016,"2016","true","true",1493,948.6420249478542,172140.96182183523,83566.35317228985,0.0003877781067701434,74,"miscellaneous-petroleum-coal-products","Engineering","14"
